header,content,is_substantive,function,topic,source_jurisdiction_type,state,city,county,enforcement_discretion,opacity,paternalism,problem_salience
## § 10.13 CAPTIONS.,"The captions and titles used at the commencement of each section or division of the code are used only to indicate the content of the section and shall not limit, modify, or in any manner affect the scope, meaning, or intent of the provisions thereafter.",False,Context,,counties,id,,franklincounty,-1.23046875,-0.9482421875,-1.109375,-1.767578125
## § 10.14 DISTRICT BOUNDARY LINES.,"(A) Existing precincts, modified precincts, and/or boundary lines for Franklin County Commissioners Districts 1, 2, and 3, shall be and hereby are established as follows.

(1) Commissioner District #1:

    (a) Preston #1;

    (b) Preston #5;

    (c) Franklin #10;

    (d) Mapleton #11; and

    (e) Whitney #16.

(2) Commissioner District #2:

    (a) Banida/Winder #6 (transferred from former District #3);

    (b) Preston #3;

    (c) Preston #4;

    (d) Mink Creek #12;

    (e) Thatcher #13;

    (f) Treasureton/Riverdale #14; and

    (g) Worm Creek #17 (new precinct, split off from former District #4).

(3) Commissioner District #3:

    (a) Preston #2;

    (b) Clifton #7;

    (c) Dayton #8;

    (d) Fairview #9 (transferred from former District #1); and
(e) Weston #15.

(B) The new or revised precincts and their boundaries shall be and hereby are established as follows.

(1) Worm Creek Precinct #17. Worm Creek #17 precinct begins at the corner of State Street and Third North, there it turns east and runs along Third North to Second East, turns north and runs along Second East to Fourth North, turns east and runs east along Fourth North to the Worm Creek. It follows the Worm Creek, as it turns north and runs in a northeasterly direction along the Worm Creek to 2200 East. At 2200 East it turns north and runs north along 2200 East to Highway 34. It crosses Highway 34 and runs west along the river bluff to State Street. It then runs south on State Street to Third North to the point of beginning. All courses are along the middle of the described streets.

(2) Preston Precinct #4. Preston #4 precinct begins at the corner of State Street and Oneida Street, then it runs north on State Street to Third North. It then turns east and runs along Third North to Second East, turns north and runs along Second East to Fourth North, then turns east and runs east along Fourth North to the Worm Creek. At the Worm Creek, it turns south and runs south along the Worm Creek to Oneida Street. Then it turns east along Oneida Street to State Street to the point of beginning. All courses are along the middle of the described streets.

(3) Dayton Precinct #8 and Weston Precinct #15. The border between the Dayton and Weston precincts was changed. Beginning at the west county line and Highway 36, running southeast along the highway to the Caribou National Forest boundary line. It then turns north and follows the forest boundary one-half mile then turns east following the forest boundary almost one mile to 7200 West. Here the line turns south and follows 7200 West south to 1600 South. At 1600 South it turns east following 1600 South in a southeasterly direction to 2700 South and continuing east to Highway 36. Here it turns north and runs north along the highway to 1600 South, turning east again, running east for one mile and turning north at 4000 West. It runs north for one mile and turns east at 800 South and runs east for one mile, then turns south at 3200 West. It runs south along 3200 West for one mile and turns east again on 1600 South. It then runs east on 1600 South to the Bear River (about two miles). Everything north of the above-described boundary is in Dayton Precinct #8. Everything south of the above-described boundary is in Weston Precinct #15 with all of the other boundaries remaining the same.

(4) Mapleton Precinct #11/Whitney Precinct #16/Preston Precinct #5.

(a) The size of the Mapleton Precinct is increased to compensate for new homes in outlying areas. A small portion of Whitney Precinct #16 and Preston Precinct #5 are added to Mapleton Precinct #11. These changes are made to enable voters to vote at the polling place nearest to their homes.

(b) The new description for the Mapleton Precinct #11 is as follows: the eastern boundary of the precinct is the county line. The southern boundary of the precinct is the county line which is also the state line. The western boundary of the precinct begins at the southern county line and the Cache National Forest boundary line. At that point, it runs north along the forest boundary four miles, turns east for one-half mile and then north again for one mile (still following the forest boundary). At the point where Maple Creek Road enters the forest, the precinct boundary turns west, runs west around the Morgan Ridge Bluff to the township line dividing Township 16 and Township 15. Then it runs west along the township line to the Cub River. Here it turns south and runs southwest along the river to the power lines, turns north and runs along the power lines to the Middle Ditch. At the Middle Ditch it turns west and follows the ditch in a northerly direction to 800 South. At 800 South it turns east, it goes straight east for one mile and runs into Giraffe Road (the above description changes the boundary between Mapleton Precinct #11 and Whitney Precinct #16). It then follows Giraffe Road to the top of the hill. At the top of the hill a dirt road runs northeast to a peak. The boundary runs along the ridge line in a northeasterly direction to Glendale Road where the Preston water line intersects the road. It turns northwest and runs along Glendale Road to Worm Creek Road (the above description changes the boundary between Mapleton Precinct #11 and Preston Precinct #5). Then it runs northeasterly along Worm Creek Road to the Cache National Forest boundary line, thence it follows the Cache National Forest boundary north two miles, then east one mile, then north one and three-fourths miles to the power lines. At the power lines it runs along the power lines east, then south, then northeast to the county line.

(Ord. 2002-1, passed 3-11-2002)

§ 10.99 PENALTY.

(A) Except in cases where a different punishment is prescribed by a county ordinance, every offense declared to be a violation is punishable as follows.

(1) First offense: any person who pleads guilty to or is found guilty of a violation of a county ordinance shall be guilty of an infraction and, for a first offense, be punishable by a $50 fine.

(2) Second offense: any person who pleads guilty to or is found guilty of the same violation of a county ordinance within a three year time frame shall be guilty of an infraction and, for a second offense, be punishable by a $200 fine.

(3) Third offense: any person who pleads guilty to or is found guilty of the same violation of a county ordinance within a three year time frame, who previously has been found guilty of or has pled guilty to two or more violations of the ordinance, shall be guilty of a misdemeanor and, for a third offense or more, is punishable by imprisonment in the county jail not exceeding three months, or by a fine not exceeding $1,000, or by both.

(B) Each day that a violation of any ordinance exists may be charged as a separate infraction or misdemeanor violation.

(C) Nothing in this section shall limit the county’s authority to also pursue enforcement though whatever civil means are also available. The person violating the ordinance may be responsible for the county’s costs associated with a civil enforcement action.
(D) The penalties and punishments in this section are only applicable in cases where there are not already penalties/punishments within the specific ordinances.

(Ord. 2018-02-12(B), passed 2-12-2018)",True,Enforcement,Other,counties,id,,franklincounty,-0.04193115234375,1.1201171875,-0.595703125,-0.429443359375
### § 30.01 AUTHORIZATION.,"This subchapter is enacted pursuant to Idaho Code § 67-6504.

(Ord. 1999-3, passed 7-26-1999)",False,Context,,counties,id,,franklincounty,-1.61328125,0.28173828125,-1.1142578125,-1.515625
### § 30.02 CREATION.,"There is hereby created a commission to be known and designated the Franklin County Planning and Zoning Commission (“Commission”); the Commission shall exercise all of the powers required and authorized by Idaho Code Title 67, Chapter 65.

(Ord. 1999-3, passed 7-26-1999)",False,Process,,counties,id,,franklincounty,-1.654296875,-0.50537109375,-1.2412109375,-1.421875
### § 30.03 MEMBERSHIP.,"(A) The Commission shall consist of seven voting members, all appointed by the Chairperson of the County Board of County Commissions (“County Commissioners”), and shall be confirmed by a majority vote of the County Commissioners. Members of the Commission must have resided in the county for at least two years prior to his or her appointment, and must
remain a resident of the county during his or her service on the Commission. Not more than one-third of the members of the Commission may reside within an incorporated city of 1,500 or more population in the county. At least one-half of the members of the Commission must reside outside the boundaries of any city’s area of impact. The term of office for members shall be not less than three years, nor more than six years. No person shall serve more than two full consecutive terms. Vacancies occurring otherwise than through the expiration of terms shall be filled in the same manner as the original appointment. Members may be removed for cause by a majority vote of the County Commissioners. Members shall be selected without respect to political affiliation and may receive such mileage and per diem compensation as provided by the County Commissioners.

(B) The term of office for all existing members of the County Planning and Zoning Commission shall expire 30 days from the effective date of this subchapter. The County Commissioners shall appoint or reappoint members pursuant to the terms of this subchapter; four of which shall be appointed for three-year terms and three of which shall be appointed for six-year terms.

(Ord. 1999-3, passed 7-26-1999)",False,Process,,counties,id,,franklincounty,-1.029296875,0.1260986328125,-0.99560546875,-0.8642578125
## § 30.04 ORGANIZATION.,"(A) The Commission shall elect a Chairperson and Secretary and may create and fill any other office that it may deem necessary.

(B) The Commission may establish subcommittees, advisory committees, or neighborhood groups to advise and assist in carrying out the responsibilities under this chapter. All such committees shall be advisory only and shall report to the Commission. All such committees shall be established for a specific term and shall be terminated at the end of said term, unless extended by the Commission.

(C) The Commission may appoint nonvoting ex officio advisors as may be deemed necessary.

(Ord. 1999-3, passed 7-26-1999)",False,Process,,counties,id,,franklincounty,-1.4130859375,-0.744140625,-1.2392578125,-1.330078125
"## § 30.05 RULES, RECORDS, AND MEETINGS.","(A) Written organization papers or bylaws consistent with this chapter and other laws of the state for the transaction of business of the Commission shall be adopted by the Commission. A record of meetings, hearings, resolutions, studies, findings, permits, and actions taken shall be maintained.

(B) All meetings and records shall be open to the public. At least one regular meeting shall be held each month for not less than nine months in a year.

(C) A majority of voting members of the Commission shall constitute a quorum.

(Ord. 1999-3, passed 7-26-1999)",True,Rules,Other,counties,id,,franklincounty,-1.599609375,-0.5849609375,-1.1484375,-0.9501953125
## § 30.06 EXPENDITURES AND STAFF.,"(A) With approval of the County Commissioners, the Commission may receive and expend funds, goods, and services from the federal government or agencies and instrumentalities of state or local governments, or from civic and private sources, and may contract with these entities and provide information and reports as necessary to secure aid. Expenditures by the Commission shall be within the amounts appropriated by the County Commissioners.

(B) Within such limits, the Commission is authorized to hire employees and technical advisors, including, but not limited to, planners, engineers, architects, and legal assistants.

(Ord. 1999-3, passed 7-26-1999)",True,Rules,Other,counties,id,,franklincounty,-1.2197265625,-0.6474609375,-1.2333984375,-1.166015625
## § 30.20 PURPOSE.,"The purpose of this subchapter is to promote the educational, cultural, economic, and general welfare of the public of the county through the identification, evaluation, designation, and protection of those buildings, sites, areas, structures, and objects which reflect significant elements of the city’s, county’s, state’s, and the nation’s historic, architectural, archaeological, and cultural heritage.

(Ord. 88-3, passed 7-11-1988)",False,Context,,counties,id,,franklincounty,-1.1787109375,-0.8173828125,-0.85595703125,-0.0877685546875
## § 30.21 DEFINITIONS.,"For the purpose of this subchapter, the following definitions shall apply unless the context clearly indicates or requires a different meaning.

**COMMISSION.** The Historic Preservation Commission of the County of Franklin.

**COUNTY.** The County of Franklin.

**HISTORIC PRESERVATION.** The research, documentation, protection, restoration, and rehabilitation of buildings,
structures, objects, districts, areas, and sites significant in the history, architecture, archaeology, or culture of this state, its communities, or the nation.

**HISTORIC PROPERTY.** Any building, structure, area, or site that is significant in the history, architecture, archeology, or culture of this community, state, or the nation.

(Ord. 88-3, passed 7-11-1988)",False,Context,,counties,id,,franklincounty,-0.87939453125,-0.58935546875,-1.0419921875,-1.0595703125
## § 30.22 HISTORIC PRESERVATION COMMISSION.,"(A) There is hereby created a Historic Preservation Commission which shall consist of members who shall be appointed by the County Commissioners.

(B) All members of the Commission shall have a demonstrated interest, competence, or knowledge in history or historic preservation. The County Commissioners shall endeavor to appoint at least two members with professional training or experience in the disciplines of architecture, history, architectural history, urban planning, archaeology, engineering, law, or other historic preservation related disciplines.

(C) Initial appointments to the Commission shall be made as follows: one, one-year term; two, two-year terms; and two, three-year terms. All subsequent appointments shall be made for three-year terms. Commission members may be reappointed to serve additional terms. Vacancies shall be filled in the same manner as original appointments and the appointee shall serve for the remainder of the unexpired term.

(D) The members of the Commission may be reimbursed by the county for expenses incurred in connection with their duties.

(Ord. 88-3, passed 7-11-1988)",False,Process,,counties,id,,franklincounty,-1.185546875,-0.58642578125,-0.81884765625,-0.64697265625
"## § 30.23 ORGANIZATION, OFFICERS, RULES, AND MEETINGS.","(A) The Commission shall have the power to make whatever rules are necessary for the execution of its duties as set forth in this subchapter. Rules of procedure and bylaws adopted by the Commission shall be available for public inspection.

(B) The Commission shall elect officers from among the Commission members. The Chairperson shall preside at meetings of the Commission. The Vice Chairperson shall, in the absence of the Chairperson, perform the duties of the Chairperson.

(C) All meetings of the Commission shall be open to the public and follow the requirements of the state’s open meeting laws. The Commission shall keep minutes and other appropriate written records of its resolutions, proceedings, and actions.

(D) The Commission may recommend to the County Commissioners, within the limits of its funding, the employment of or the contracting with other parties for the service of technical experts or other persons as it deems necessary to carry on the functions of the Commission.

(Ord. 88-3, passed 7-11-1988)",True,Rules,Other,counties,id,,franklincounty,-1.0771484375,-0.055572509765625,-1.275390625,-1.0556640625
"## § 30.24 POWERS, DUTIES, AND RESPONSIBILITIES.","The Commission has the authority to:

(A) Conduct a survey of local historic properties;

(B) Recommend the acquisition of fee and lesser interests in historic properties, including adjacent or associated lands, by purchase, bequests, or donation;

(C) Recommend methods and procedures necessary to preserve, restore, maintain, and operate historic properties under the ownership or control of the county;

(D) Recommend the lease, sale, other transfer, or disposition of historic properties subject to rights of public access and other covenants and in a manner that will preserve the property;

(E) Contract with the approval of the County Commissioners, with the state or federal government, or any agency of either, or with any other organization;

(F) Cooperate with the federal, state, and local governments in the pursuance of the objectives of historic preservation;

(G) Make recommendations in the planning processes undertaken by the county, the city, the state, or the federal government and the agencies of these entities;

(H) Recommend ordinances and otherwise provide information for the purposes of historic preservation in the county;

(I) Promote and conduct an educational and interpretive program on historic preservation and historic properties in the county;

(J) Commission members, employees, or agents of the Commission may enter private property, buildings, or structures in the performance of its official duties only with the express consent of the owner or occupant thereof; and
(K) Review nominations of properties to the National Register of Historic Places for properties within the county’s jurisdiction.

(Ord. 88-3, passed 7-11-1988)",True,Rules,Other,counties,id,,franklincounty,-0.642578125,0.0743408203125,-0.5263671875,-0.10992431640625
## § 30.25 SPECIAL RESTRICTIONS.,"Under the provisions of Idaho Code § 67-4612, the county may provide by ordinances, special conditions, or restrictions for the protection, enhancement, and preservation of historic properties.

(Ord. 88-3, passed 7-11-1988)",False,Context,,counties,id,,franklincounty,-0.54931640625,0.03228759765625,-0.796875,-1.0380859375
## § 30.40 BOARD CREATED.,"The Franklin County Vermin Abatement District is hereby formed pursuant to petition and affirmative vote by the citizen’s of the county.

(Ord. 2008-3-10, passed 3-10-2008)",False,Process,,counties,id,,franklincounty,-1.404296875,-1.2509765625,-1.134765625,-0.80517578125
## § 30.41 BOARD MEMBERS.,"The Board of County Commissioners shall appoint board members to the Vermin Abatement Board pursuant to Idaho Code § 39-2803 with five Board members, the initial Board members having the following terms:

(A) Two Board members: two-year terms;

(B) One Board member: three-year term; and

(C) Two Board members: four-year terms, with subsequent terms for each Board member to be four years.

(Ord. 2008-3-10, passed 3-10-2008)",False,Process,,counties,id,,franklincounty,-1.619140625,-0.7861328125,-1.029296875,-1.287109375
## § 30.42 STATE REGULATIONS.,"The Vermin Abatement District shall be governed by the provisions of Idaho Code §§ 39-2801 et seq.

(Ord. 2008-3-10, passed 3-10-2008)",False,Context,,counties,id,,franklincounty,-1.4404296875,0.0113525390625,-1.0576171875,-1.1826171875
### § 31.001 FEE FOR DISTRAINT WARRANT.,"(A) A fee of $10 shall be charged for every warrant of distraint issued by the County Treasurer.  
(B) Administrative staff and agents of the county are hereby directed to take such actions as may be necessary to implement the provisions of this section.  
(Ord. 2012-8-27, passed 8-27-2012)",True,Rules,Other,counties,id,,franklincounty,-0.45751953125,-1.2353515625,-0.68408203125,-0.75830078125
### § 31.015 COUNTY POLICY.,"(A) It is a policy of the county that each person, to the maximum extent possible, is responsible for his or her own medical care and, to that end, shall be encouraged to purchase his or her own medical insurance with coverage sufficient to prevent them from needing to request assistance pursuant to Idaho Code Title 31, Chapter 35, as amended.  
(B) The county hereby enacts the following provisions, in order to safeguard the public health, safety and welfare, and to provide suitable facilities and provisions for the care and hospitalization of persons in this state, and, in the case of medically indigent persons, to provide for the payment thereof, but only to the extent required by state law.  
(Ord. 1996-5, passed 6-10-1996)",True,Rules,Other,counties,id,,franklincounty,-0.6494140625,-0.09515380859375,1.263671875,1.0576171875
### § 31.016 EXEMPTIONS PROHIBITED.,"The county hereby prohibits any exemptions from resources, except those which are specifically granted by Idaho Code § 31-3502(25).  
(Ord. 1996-5, passed 6-10-1996)",True,Rules,Other,counties,id,,franklincounty,-0.86572265625,0.1910400390625,0.14306640625,-0.6513671875
### § 31.017 ADOPTION OF EXCLUSIONS.,"The county hereby adopts and ratifies the exclusion from the definition of “necessary medical services” all of the exclusions set forth in Idaho Code § 31-3502(18)(A), as amended, and further declares that none of such health care costs shall be the responsibility or liability of the county.  
(Ord. 1996-5, passed 6-10-1996)",True,Rules,Other,counties,id,,franklincounty,-1.5146484375,0.328125,-0.1322021484375,-0.53076171875
### § 31.018 REIMBURSEMENT LIMITED.,"(A) The county hereby prohibits providing reimbursement for or payment of any services except those which are specifically required and mandated by Idaho Code Title 31, Chapter 35, as amended.
(B) The county hereby prohibits reimbursement for payment of any services under the state’s indigency statutes, including, but not limited to, Idaho Code Title 31, Chapter 35, which are exempted, not covered by, or not payable by the catastrophic health care costs program, except where such costs are not payable only because they are within the county’s deductible share.

(Ord. 1996-5, passed 6-10-1996)",True,Rules,Other,counties,id,,franklincounty,-0.153076171875,0.65283203125,0.064453125,0.24951171875
## § 31.019 ADOPTION OF STATE LAW.,"All provisions of Idaho Code Title 31, Chapter 35, as amended, are adopted hereby, and incorporated herein by reference.

(Ord. 1996-5, passed 6-10-1996)",True,Rules,Other,counties,id,,franklincounty,-1.2119140625,0.50146484375,-1.0107421875,-1.2763671875
## § 31.030 STATE REGULATIONS.,"From and after the date of passage of this subchapter, the requirements set forth in Idaho Code § 31-873 shall be met in full by the county.

(Ord. 87-5, passed 11-9-1987)",True,Rules,Other,counties,id,,franklincounty,-1.4169921875,0.003177642822265625,-1.0869140625,-1.3681640625
## § 31.031 CONFIDENTIAL INFORMATION.,"The information provided as stated in Idaho Code § 31-873 shall be kept confidential. Confidential information includes, but is not limited to, names of applicants and recipients, addresses, financial information, identifying numbers, and any and all information obtained through the county’s participation in the Title XIX, Medicaid Program. Additional information may be requested from the state regarding recipients and shall be subject to the same confidentiality provisions.

(Ord. 87-5, passed 11-9-1987)",True,Rules,Other,counties,id,,franklincounty,-0.88037109375,-0.07049560546875,0.09326171875,-0.305419921875
## § 31.032 SAFEGUARDING CONFIDENTIAL INFORMATION.,"There is hereby adopted, as required by Idaho Code § 31-873(2), as a means to safeguard confidential communications from the state’s Department of Health and Welfare, the following statement to be signed by all county employees dealing with the state’s Medicaid Program and retained by the County Commissioners:

COMES NOW _______________ and hereby acknowledges and expressly agrees that he/she shall observe the confidentiality of information requirements set forth in Idaho Code §§ 56-221 and 56-222 and the applicable Department of Health and Welfare and federal rules and regulations.

In particular, _______________ understands that, pursuant to Idaho Code § 56-222, it is unlawful, except for the purpose directly connected with the participation of Title XIX, Medicaid, and in accordance with the rules and regulations of the Idaho Department of Health and Welfare, for any person or persons to disclose, or make use of, or to authorize, knowingly permit, or participate in the use of any list of names, or any information concerning persons applying for or receiving such assistance or services, directly or indirectly derived from the records, papers, files, or communications of the state or county or subdivision or agencies thereof or acquired in the course of the performance of official duties, specifically dealing with the participation of the Title XIX, Medicaid Program.

(Ord. 87-5, passed 11-9-1987)",True,Rules,Other,counties,id,,franklincounty,-0.6044921875,1.4033203125,0.383544921875,1.1376953125
## § 31.045 CREATION OF RIGHT.,"The people of this county shall have the right to adopt or amend ordinances through the initiative process, and to approve or repeal legislation adopted by the Board of County Commissioners through the referendum process, according to the procedures set forth herein.

(Ord. 1994-1, passed 6-13-1994)",False,Process,,counties,id,,franklincounty,-1.3369140625,-1.2451171875,-0.95703125,-0.8876953125
## § 31.046 NUMBER OF PETITIONS REQUIRED.,"To adopt or amend an ordinance by initiative or to approve or repeal an ordinance by referendum, there shall be attached or appended to the petition demanding such, the signatures of not fewer than 20% of the qualified electors voting in the county in the last general election.

(Ord. 1994-1, passed 6-13-1994)",True,Rules,Other,counties,id,,franklincounty,-1.3505859375,-1.2041015625,-0.4697265625,-1.046875
## § 31.047 TIME FOR FILING REFERENDUM PETITIONS.,"Initial referendum petitions with the requisite number of signatures shall be filed with the County Clerk not less than 30 days following the final publication of the ordinance to be subject to referendum. After the initial filing of the petition, the provisions of § 31.050 shall apply. Completed petitions, with the requisite number of signatures for referendum, shall be filed with the County Clerk not more than 90 days after the date of approval of the form in § 31.050.
(Ord. 1994-1, passed 6-13-1994)",True,Rules,Other,counties,id,,franklincounty,-1.23046875,-0.51611328125,-0.69189453125,-1.068359375
## § 31.048 TIME FOR FILING INITIATIVE PETITIONS.,"Initiative petitions with the requisite number of signatures shall be filed with the County Clerk not more than 90 days after the date of approval of the form in § 31.050.

(Ord. 1994-1, passed 6-13-1994)",True,Rules,Other,counties,id,,franklincounty,-1.4248046875,-1.2958984375,-0.420166015625,-1.44140625
## § 31.049 TIME IS OF THE ESSENCE.,"All requirements for gathering signatures shall be met by or within the time frames imposed herein.

(Ord. 1994-1, passed 6-13-1994)",True,Rules,Other,counties,id,,franklincounty,-1.111328125,-0.84326171875,-0.08355712890625,-0.9609375
